original_path,new_key,bytes,sha256_12,ext
67 Mustang Layer_overlay_v1.png,exports/images/67-mustang-layer-overlay-v1.png,863233,40a353fb36d8,.png
Axe_text_v1.png,exports/images/axe-text-v1.png,32067,536bd210a2c5,.png
AXE_V1.png,exports/images/axe-v1.png,617187,008dad05e0cd,.png
Kimi_text_v1.png,exports/images/kimi-text-v1.png,27358,640c2f1081f8,.png
KIMI_V1.png,exports/images/kimi-v1.png,491201,ae2930a05b98,.png
Nyxx_text_v1.png,exports/images/nyxx-text-v1.png,28572,98916c4b3719,.png
NYXX_V1.png,exports/images/nyxx-v1.png,620069,0ca3207f9a17,.png
RG_logo_LR_v1.png,exports/images/rg-logo-lr-v1.png,13087,4bb3121e04db,.png
RG TEAM CAR_BG_V1.png,exports/images/rg-team-car-bg-v1.png,1293083,4905be2f75be,.png
RG TEAM PAGE BG_V1.png,exports/images/rg-team-page-bg-v1.png,1596006,e0f74d9e6839,.png
RG TEAM PAGE FG_LOGO_V1.png,exports/images/rg-team-page-fg-logo-v1.png,76065,51ea2bf2e717,.png
RG TEAM PAGE MG_MUSTANG_V1.png,exports/images/rg-team-page-mg-mustang-v1.png,881486,33fe5bb4f15d,.png
RG TEAM TEXT_V1.png,exports/images/rg-team-text-v1.png,184961,bad1067694e9,.png
Rocker Garage Logo_topleft_v1.png,exports/images/rocker-garage-logo-topleft-v1.png,53420,724228ca2cb0,.png
Torque_text_v1.png,exports/images/torque-text-v1.png,39555,4c68d872a72c,.png
TORQUE_V1.png,exports/images/torque-v1.png,553888,95ec5ccbef88,.png
RG TEAM PAGE LAYERS V1.psd,layers/source/rg-team-page-layers-v1.psd,22034731,1d722d0fb104,.psd
