source_rel,category,staged_rel,filename,bytes,mime
67 Mustang Layer_overlay_v1.png,img,rg-upload/prod/img/67-mustang-layer-overlay-v1.png,67-mustang-layer-overlay-v1.png,863233,image/png
Axe_text_v1.png,img,rg-upload/prod/img/axe-text-v1.png,axe-text-v1.png,32067,image/png
AXE_V1.png,img,rg-upload/prod/img/axe-v1.png,axe-v1.png,617187,image/png
Kimi_text_v1.png,img,rg-upload/prod/img/kimi-text-v1.png,kimi-text-v1.png,27358,image/png
KIMI_V1.png,img,rg-upload/prod/img/kimi-v1.png,kimi-v1.png,491201,image/png
Nyxx_text_v1.png,img,rg-upload/prod/img/nyxx-text-v1.png,nyxx-text-v1.png,28572,image/png
NYXX_V1.png,img,rg-upload/prod/img/nyxx-v1.png,nyxx-v1.png,620069,image/png
RG_logo_LR_v1.png,img,rg-upload/prod/img/rg-logo-lr-v1.png,rg-logo-lr-v1.png,13087,image/png
RG TEAM CAR_BG_V1.png,img,rg-upload/prod/img/rg-team-car-bg-v1.png,rg-team-car-bg-v1.png,1293083,image/png
RG TEAM PAGE BG_V1.png,img,rg-upload/prod/img/rg-team-page-bg-v1.png,rg-team-page-bg-v1.png,1596006,image/png
RG TEAM PAGE FG_LOGO_V1.png,img,rg-upload/prod/img/rg-team-page-fg-logo-v1.png,rg-team-page-fg-logo-v1.png,76065,image/png
RG TEAM PAGE MG_MUSTANG_V1.png,img,rg-upload/prod/img/rg-team-page-mg-mustang-v1.png,rg-team-page-mg-mustang-v1.png,881486,image/png
RG TEAM TEXT_V1.png,img,rg-upload/prod/img/rg-team-text-v1.png,rg-team-text-v1.png,184961,image/png
Rocker Garage Logo_topleft_v1.png,img,rg-upload/prod/img/rocker-garage-logo-topleft-v1.png,rocker-garage-logo-topleft-v1.png,53420,image/png
Torque_text_v1.png,img,rg-upload/prod/img/torque-text-v1.png,torque-text-v1.png,39555,image/png
TORQUE_V1.png,img,rg-upload/prod/img/torque-v1.png,torque-v1.png,553888,image/png
RG TEAM PAGE LAYERS V1.psd,meta,rg-upload/meta/rg-team-page-layers-v1.psd,rg-team-page-layers-v1.psd,22034731,image/vnd.adobe.photoshop
